Sandor Samuels, College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/faculty
Kurt Saunders, College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/faculty
Hilary Silvia-Goldberg, College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/faculty
Melanie Williams, College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/faculty
Gregory Young, College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/faculty
Jennifer Berry , College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/lecturers
Shira Brown , College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/lecturers
Marie Cartier , College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/lecturers
Melanie Klein , College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/lecturers
Kristyan Kouri , College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/lecturers
Ricky Manoff , College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/lecturers
Heidi Schumacher , College of Humanities, Department of Gender's & Women's Studies, https://www.csun.edu/humanities/gender-womens-studies/lecturers
Rosa Angulo-Barroso , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Chris Bolsmann , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Sean P. Flanagan , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Ovande Furtado Jr. , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Ivan Guillory , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Kim Henige , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Jake Hinkel-Lipsker , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Victoria Jaque , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Danielle Jarvis , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Jacob Jensen , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Taeyou Jung , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
George Kioussis , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Andrew Linden , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Steven Loy , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Paulo Marchetti , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Douglas W. McLaughlin , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Justin Nicoll , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Elizabeth Parke , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Sean Rogers ATC , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Ashley A. Samson , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Shane D. Stecyk , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Belinda Stillwell , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Terry Sweeting , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Paula S. Thomson , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Teri Todd , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
K. Dino Vrongistinos , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
William C. Whiting , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Benedict B. Yaspelkis III , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Full%20Time
Scott Amiss , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Richard Andrews , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Carolyn Barnes , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Teri Berkel , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Esteban Campa , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
Mary Chua , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
James Clemmensen , Health & Human Development, Department of Kinesiology, https://www.csun.edu/health-human-development/kinesiology/faculty-type/Lecturer
